date,state,positive,positiveIncrease
20200706,TX,200557,5318
20200705,TX,195239,3449
20200704,TX,191790,8258
20200703,TX,183532,7555
20200702,TX,175977,7915
20200701,TX,168062,8076
20200630,TX,159986,6975
20200629,TX,153011,4283
20200628,TX,148728,5357
20200627,TX,143371,5747
20200626,TX,137624,5707
20200625,TX,131917,5996
20200624,TX,125921,5551
20200623,TX,120370,5489
20200622,TX,114881,3280
20200621,TX,111601,3866
20200620,TX,107735,4430
20200619,TX,103305,3454
20200618,TX,99851,3516
20200617,TX,96335,3129
20200616,TX,93206,4098
20200615,TX,89108,1254
20200614,TX,87854,1843
20200613,TX,86011,2331
20200612,TX,83680,2097
20200611,TX,81583,1826
20200610,TX,79757,2504
20200609,TX,77253,1637
20200608,TX,75616,638
20200607,TX,74978,1425
20200606,TX,73553,1940
20200605,TX,71613,1693
20200604,TX,69920,1649
20200603,TX,68271,1703
20200602,TX,66568,1688
20200601,TX,64880,593
20200531,TX,64287,1949
20200530,TX,62338,1332
20200529,TX,61006,1230
20200528,TX,59776,1855
20200527,TX,57921,1361
20200526,TX,56560,589
20200525,TX,55971,623
20200524,TX,55348,839
20200523,TX,54509,1060
20200522,TX,53449,1181
20200521,TX,52268,945
20200520,TX,51323,1411
20200519,TX,49912,1219
20200518,TX,48693,909
20200517,TX,47784,785
20200516,TX,46999,1801
20200515,TX,45198,1347
20200514,TX,43851,1448
20200513,TX,42403,1355
20200512,TX,41048,1179
20200511,TX,39869,1000
20200510,TX,38869,1009
20200509,TX,37860,1251
20200508,TX,36609,1219
20200507,TX,35390,968
20200506,TX,34422,1053
20200505,TX,33369,1037
20200504,TX,32332,784
20200503,TX,31548,1026
20200502,TX,30522,1293
20200501,TX,29229,1142
20200430,TX,28087,1033
20200429,TX,27054,883
20200428,TX,26171,874
20200427,TX,25297,666
20200426,TX,24631,858
20200425,TX,23773,967
20200424,TX,22806,862
20200423,TX,21944,875
20200422,TX,21069,873
20200421,TX,20196,738
20200420,TX,19458,535
20200419,TX,18923,663
20200418,TX,18260,889
20200417,TX,17371,916
20200416,TX,16455,963
20200415,TX,15492,868
20200414,TX,14624,718
20200413,TX,13906,422
20200412,TX,13484,923
20200411,TX,12561,890
20200410,TX,11671,1441
20200409,TX,10230,877
20200408,TX,9353,1091
20200407,TX,8262,986
20200406,TX,7276,464
20200405,TX,6812,702
20200404,TX,6110,780
20200403,TX,5330,661
20200402,TX,4669,672
20200401,TX,3997,731
20200331,TX,3266,389
20200330,TX,2877,325
20200329,TX,2552,500
20200328,TX,2052,321
20200327,TX,1731,335
20200326,TX,1396,422
20200325,TX,974,564
20200324,TX,410,58
20200323,TX,352,18
20200322,TX,334,30
20200321,TX,304,110
20200320,TX,194,51
20200319,TX,143,60
20200318,TX,83,19
20200317,TX,64,7
20200316,TX,57,1
20200315,TX,56,5
20200314,TX,51,12
20200313,TX,39,16
20200312,TX,23,2
20200311,TX,21,8
20200310,TX,13,1
20200309,TX,12,4
20200308,TX,8,0
20200307,TX,8,3
20200306,TX,5,4
20200305,TX,1,0
20200304,TX,1,0
